Geography,Geographic Area Name,Total Population,Total Population MOE,Male,Male MOE,Male Under 5 years,Male Under 5 years MOE,Male 5 to 9 years,Male 5 to 9 years MOE,Male 10 to 14 years,Male 10 to 14 years MOE,Male 15 to 17 years,Male 15 to 17 years MOE,Male 18 and 19 years,Male 18 and 19 years MOE,Male 20 years,Male 20 years MOE,Male 21 years,Male 21 years MOE,Male 22 to 24 years,Male 22 to 24 years MOE,Male 25 to 29 years,Male 25 to 29 years MOE,Male 30 to 34 years,Male 30 to 34 years MOE,Male 35 to 39 years,Male 35 to 39 years MOE,Male 40 to 44 years,Male 40 to 44 years MOE,Male 45 to 49 years,Male 45 to 49 years MOE,Male 50 to 54 years,Male 50 to 54 years MOE,Male 55 to 59 years,Male 55 to 59 years MOE,Male 60 and 61 years,Male 60 and 61 years MOE,Male 62 to 64 years,Male 62 to 64 years MOE,Male 65 and 66 years,Male 65 and 66 years MOE,Male 67 to 69 years,Male 67 to 69 years MOE,Male 70 to 74 years,Male 70 to 74 years MOE,Male 75 to 79 years,Male 75 to 79 years MOE,Male 80 to 84 years,Male 80 to 84 years MOE,Male 85 years and over,Male 85 years and over MOE,Female,Female MOE,Female Under 5 years,Female Under 5 years MOE,Female 5 to 9 years,Female 5 to 9 years MOE,Female 10 to 14 years,Female 10 to 14 years MOE,Female 15 to 17 years,Female 15 to 17 years MOE,Female 18 and 19 years,Female 18 and 19 years MOE,Female 20 years,Female 20 years MOE,Female 21 years,Female 21 years MOE,Female 22 to 24 years,Female 22 to 24 years MOE,Female 25 to 29 years,Female 25 to 29 years MOE,Female 30 to 34 years,Female 30 to 34 years MOE,Female 35 to 39 years,Female 35 to 39 years MOE,Female 40 to 44 years,Female 40 to 44 years MOE,Female 45 to 49 years,Female 45 to 49 years MOE,Female 50 to 54 years,Female 50 to 54 years MOE,Female 55 to 59 years,Female 55 to 59 years MOE,Female 60 and 61 years,Female 60 and 61 years MOE,Female 62 to 64 years,Female 62 to 64 years MOE,Female 65 and 66 years,Female 65 and 66 years MOE,Female 67 to 69 years,Female 67 to 69 years MOE,Female 70 to 74 years,Female 70 to 74 years MOE,Female 75 to 79 years,Female 75 to 79 years MOE,Female 80 to 84 years,Female 80 to 84 years MOE,Female 85 years and over,Female 85 years and over MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,1387,615,776,393,147,92,32,34,47,76,18,28,0,13,0,13,0,13,28,34,29,39,206,242,60,62,45,33,0,13,45,48,84,122,0,13,15,18,0,13,3,10,7,17,0,13,6,9,4,12,611,259,75,56,49,40,0,13,16,47,0,13,0,13,47,41,89,82,17,20,43,45,14,21,15,30,10,15,76,148,51,44,26,30,18,30,4,11,7,13,46,35,7,10,0,13,1,4
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,3681,441,1604,610,0,13,0,13,31,45,16,25,839,361,331,188,97,70,232,165,0,13,9,21,15,23,0,13,0,13,0,13,0,13,0,13,0,13,23,26,0,13,5,9,0,13,6,10,0,13,2077,626,10,16,0,13,16,25,0,13,1085,356,319,220,406,246,128,139,7,19,16,25,9,15,31,44,0,13,0,13,0,13,0,13,28,31,10,16,0,13,6,10,0,13,6,10,0,13
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,1265,405,487,140,0,13,30,53,56,58,4,14,0,13,0,13,5,9,82,64,0,13,93,66,15,23,66,63,14,22,29,33,3,5,21,30,38,40,0,13,5,7,12,19,14,14,0,13,0,13,778,337,20,29,65,65,57,51,128,128,25,37,0,13,0,13,20,30,0,13,168,174,48,43,16,24,0,13,56,44,53,42,18,25,25,31,0,13,5,8,54,32,4,8,0,13,16,19
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,1030,305,535,203,97,91,35,55,41,50,15,24,0,13,0,13,0,13,11,18,0,13,0,13,29,35,15,22,36,53,29,45,0,13,32,42,27,43,13,21,11,17,88,64,22,25,22,35,12,19,495,164,14,23,8,14,37,49,20,24,19,31,14,22,0,13,0,13,0,13,37,60,78,64,0,13,44,39,2,4,63,46,11,15,9,16,0,13,33,42,36,34,22,25,26,23,22,34
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,1267,455,632,228,80,61,26,41,33,32,38,41,78,80,0,13,0,13,9,15,37,42,61,42,99,96,14,24,19,30,15,23,29,30,0,13,14,22,17,21,33,36,0,13,26,34,4,8,0,13,635,244,73,65,44,51,83,117,34,51,0,13,0,13,0,13,20,31,15,25,35,32,35,34,82,75,11,18,0,13,52,39,18,15,57,48,12,18,0,13,51,51,5,9,8,13,0,13
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,1618,573,781,331,32,55,99,83,112,118,0,13,70,89,12,24,26,42,110,131,93,103,25,46,52,47,44,51,9,16,0,13,43,49,9,15,18,26,0,13,0,13,20,31,7,11,0,13,0,13,837,343,53,55,0,13,27,42,50,56,49,56,0,13,0,13,0,13,100,71,111,133,78,68,64,77,11,23,45,44,67,61,29,34,22,21,54,55,21,27,20,23,11,16,7,13,18,21
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,3091,1112,1194,428,285,307,146,110,49,73,0,13,23,37,0,13,0,13,0,13,54,54,15,24,118,102,91,76,32,33,56,71,78,62,73,118,55,62,13,23,17,29,33,33,20,25,36,41,0,13,1897,791,200,190,128,151,156,119,54,64,16,25,50,79,0,13,117,171,375,382,122,100,180,149,14,18,13,23,73,47,116,115,107,127,12,19,5,8,26,31,54,46,50,63,29,35,0,13
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,1235,468,469,192,18,30,34,32,121,79,40,60,0,13,0,13,17,32,9,17,0,13,41,43,0,13,36,55,29,32,0,13,14,22,0,13,18,30,15,23,14,23,15,23,14,25,34,48,0,13,766,359,22,33,39,67,85,76,0,13,0,13,0,13,0,13,0,13,47,82,58,52,57,70,97,96,7,11,164,230,16,26,40,59,29,30,38,57,16,26,11,17,40,56,0,13,0,13
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,2560,667,1084,392,16,25,129,134,38,61,78,90,0,13,0,13,0,13,176,154,0,13,18,32,50,68,12,21,121,96,77,91,65,65,47,45,23,31,26,33,18,22,56,52,63,91,67,60,4,8,1476,442,122,178,130,161,40,45,34,41,21,31,19,31,36,43,145,119,180,130,32,41,0,13,60,46,65,49,89,88,127,88,48,59,17,24,141,167,0,13,87,55,23,28,46,51,14,17
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,641,365,378,255,0,13,67,57,13,25,87,122,0,13,26,43,11,20,42,61,0,13,25,42,10,17,21,33,12,22,0,13,13,20,0,13,16,25,21,34,0,13,14,15,0,13,0,13,0,13,263,156,0,13,0,13,12,22,25,47,0,13,0,13,0,13,36,45,22,39,42,38,17,29,0,13,13,23,33,47,7,11,15,25,25,41,0,13,7,12,9,14,0,13,0,13,0,13
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,2390,798,1212,420,89,93,0,13,0,13,78,100,16,26,0,13,22,36,40,52,155,149,147,100,0,13,93,72,0,13,56,58,59,58,61,56,73,53,32,43,149,203,65,44,15,23,5,9,57,51,1178,434,12,19,175,221,28,41,12,18,54,71,0,13,0,13,28,46,22,24,52,47,22,37,108,70,65,65,98,70,80,56,37,49,133,155,3,5,96,54,22,22,14,23,54,45,63,50
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,1336,276,553,169,99,55,86,80,85,51,16,18,0,13,22,23,0,13,44,45,10,10,1,4,42,32,11,13,29,22,33,26,4,9,6,11,0,13,0,13,27,16,6,9,13,14,11,12,8,11,783,198,62,71,195,116,110,66,17,18,0,13,0,13,0,13,33,57,18,17,9,15,64,53,25,19,56,38,15,17,43,34,0,13,33,29,7,12,14,17,44,39,30,22,2,3,6,10
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,1123,582,525,287,7,12,25,38,32,38,36,43,0,13,77,116,0,13,96,142,57,62,13,20,48,44,15,26,0,13,27,42,32,24,0,13,0,13,32,38,0,13,18,22,7,10,3,5,0,13,598,330,0,13,196,241,52,61,0,13,0,13,0,13,11,17,33,49,10,16,8,14,52,45,47,60,33,53,8,12,77,55,27,24,7,11,0,13,20,22,8,13,9,11,0,13,0,13
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,835,295,345,150,28,34,42,45,0,13,0,13,0,13,0,13,0,13,6,10,14,22,23,30,7,13,12,18,0,13,34,37,14,16,4,13,59,55,9,13,64,88,19,29,10,10,0,13,0,13,490,193,41,53,2,4,12,19,0,13,0,13,0,13,0,13,12,18,35,44,9,13,11,18,0,13,13,19,27,21,34,26,7,13,27,26,9,12,150,146,40,37,28,21,8,10,25,18
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,987,329,587,306,1,2,55,47,36,56,10,17,50,66,0,13,0,13,0,13,73,99,119,118,75,77,81,66,0,13,3,6,14,16,6,8,4,6,10,13,33,48,9,10,8,11,0,13,0,13,400,157,0,13,0,13,21,24,0,13,0,13,34,39,0,13,5,7,19,29,0,13,63,72,62,43,0,13,19,22,33,28,52,58,0,13,0,13,4,8,22,19,50,27,8,8,8,8
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,825,247,391,162,67,104,30,41,7,11,9,12,16,20,12,22,0,13,5,13,71,47,10,16,0,13,18,18,16,18,19,19,29,24,13,13,0,13,0,13,0,13,40,40,0,13,20,17,9,11,434,153,7,11,38,27,57,51,8,13,38,57,0,13,0,13,41,34,35,25,24,38,35,35,7,11,15,13,19,16,40,25,0,13,13,16,0,13,8,13,0,13,32,20,15,20,2,4
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,1157,485,576,263,7,12,49,40,2,12,211,250,0,13,0,13,7,11,5,11,79,60,32,40,5,11,7,11,18,21,0,13,17,20,26,25,9,17,26,25,0,13,0,13,33,34,0,13,43,57,581,259,6,11,41,36,3,12,23,32,111,151,13,22,8,13,7,11,26,26,15,19,43,31,13,16,0,13,42,30,88,89,35,29,11,14,32,38,0,13,0,13,57,57,7,12,0,13
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,719,290,367,189,0,13,23,26,8,14,0,13,0,13,0,13,0,13,0,13,25,38,30,69,47,35,57,56,11,18,65,100,33,40,4,6,11,14,7,9,5,7,18,21,12,17,8,9,3,5,352,158,22,35,0,13,14,18,3,8,0,13,0,13,0,13,80,77,43,45,0,13,40,36,28,30,25,19,31,39,0,13,17,14,4,6,9,16,11,17,4,6,8,9,9,9,4,6
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,928,206,361,108,0,13,19,31,0,13,18,30,0,13,0,13,0,13,20,32,18,28,6,12,94,66,0,13,102,70,27,34,33,30,0,13,17,17,0,13,0,13,0,13,0,13,7,10,0,13,567,118,0,13,0,13,108,58,160,52,19,29,0,13,0,13,0,13,0,13,0,13,68,56,37,40,0,13,48,35,44,37,0,13,46,37,4,6,0,13,18,26,15,14,0,13,0,13
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,1170,433,552,206,8,13,2,7,11,15,73,93,35,46,0,13,28,36,16,17,82,85,4,9,35,41,5,7,6,9,0,13,38,37,83,96,8,12,21,32,48,40,8,11,15,15,19,13,7,11,618,261,5,10,10,21,25,33,6,11,15,21,9,15,0,13,14,22,4,11,6,9,149,188,13,15,35,30,45,40,34,27,78,80,17,14,31,36,22,20,26,31,6,10,46,32,22,36
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,916,261,407,129,5,8,0,13,8,13,56,71,22,28,0,13,24,28,0,13,14,16,51,43,0,13,37,44,65,47,28,21,15,17,13,14,3,5,5,9,16,17,0,13,31,23,5,9,9,12,509,163,0,13,20,18,15,18,45,43,38,48,8,12,0,13,0,13,98,76,8,13,7,12,52,56,46,44,22,32,44,27,22,19,0,13,21,26,10,15,29,22,0,13,0,13,24,21
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,1292,395,610,223,169,148,40,42,18,32,34,41,0,13,2,5,0,13,2,5,71,105,90,113,27,31,67,71,32,44,0,13,0,13,0,13,1,4,29,48,9,19,0,13,8,14,11,21,0,13,682,231,130,122,52,61,0,13,0,13,0,13,0,13,0,13,31,48,74,69,46,45,0,13,18,32,116,133,38,43,53,66,9,21,8,10,61,80,0,13,35,58,0,13,0,13,11,19
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,588,320,259,148,0,13,25,38,42,48,26,40,0,13,0,13,0,13,0,13,0,13,0,13,0,13,26,40,15,26,46,52,32,39,11,18,0,13,0,13,19,34,17,26,0,13,0,13,0,13,329,196,0,13,27,43,0,13,78,90,0,13,0,13,0,13,0,13,16,27,0,13,33,45,42,44,15,26,15,27,32,42,0,13,8,14,7,11,0,13,20,29,7,15,29,45,0,13
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,1223,353,462,139,0,13,17,28,49,65,4,7,0,13,15,21,8,15,28,44,115,79,25,38,0,13,19,31,0,13,0,13,53,42,35,57,44,52,0,13,10,16,36,56,4,10,0,13,0,13,761,252,84,135,0,13,0,13,64,73,0,13,17,28,0,13,68,74,67,68,31,39,17,29,39,64,9,19,81,75,15,17,49,83,9,15,0,13,123,133,68,45,6,11,0,13,14,16
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,1557,343,788,228,0,13,40,48,54,69,0,13,0,13,60,71,26,45,0,13,93,66,0,13,86,62,0,13,39,46,76,88,130,70,14,23,0,13,36,47,14,18,68,36,46,45,0,13,6,10,769,179,1,2,34,46,29,36,0,13,0,13,0,13,0,13,48,56,21,35,13,20,30,40,91,56,25,42,55,52,70,60,79,72,85,72,7,12,96,57,31,36,16,25,14,22,24,40
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,1398,451,646,370,0,13,27,47,17,32,46,48,0,13,0,13,0,13,0,13,81,98,0,13,10,19,115,141,147,194,0,13,0,13,0,13,13,22,0,13,46,43,98,108,26,29,0,13,20,23,752,216,0,13,44,47,19,33,20,34,45,58,0,13,0,13,0,13,84,111,0,13,0,13,30,35,25,33,0,13,25,44,0,13,43,40,11,20,0,13,84,56,105,59,97,114,120,73
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,919,294,480,165,0,13,0,13,0,13,0,13,0,13,43,66,0,13,0,13,72,82,27,36,0,13,0,13,0,13,124,109,0,13,21,28,39,49,15,27,0,13,47,52,55,63,0,13,37,42,439,194,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,42,63,20,32,0,13,15,25,0,13,88,86,49,47,15,29,32,43,0,13,25,38,0,13,43,49,23,36,87,130
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,1059,503,617,305,132,167,0,13,18,32,0,13,0,13,0,13,0,13,0,13,14,33,36,53,88,88,19,35,0,13,0,13,25,39,37,59,32,43,13,22,47,73,45,56,63,46,0,13,48,49,442,232,0,13,11,26,0,13,0,13,29,47,0,13,0,13,15,25,72,94,9,22,14,24,0,13,9,23,35,38,12,28,10,23,0,13,35,41,24,38,48,59,76,54,29,39,14,24
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,1002,587,397,317,0,13,0,13,0,13,0,13,0,13,0,13,0,13,62,102,0,13,64,85,59,56,0,13,37,58,0,13,0,13,14,24,0,13,44,71,21,35,46,78,0,13,0,13,50,83,605,313,70,86,0,13,0,13,0,13,0,13,0,13,0,13,127,153,69,91,20,37,7,21,54,97,109,100,29,52,0,13,0,13,54,53,22,35,0,13,0,13,0,13,44,50,0,13
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,1362,450,778,379,0,13,4,9,85,100,112,100,0,13,0,13,52,81,36,59,24,39,107,100,78,79,0,13,7,13,109,85,21,46,0,13,16,26,0,13,47,75,20,32,39,54,21,34,0,13,584,224,0,13,0,13,105,129,29,49,17,35,0,13,0,13,0,13,0,13,55,77,134,106,30,54,6,12,21,46,26,44,12,19,5,14,0,13,43,46,62,66,23,37,16,25,0,13
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,1576,495,926,306,8,14,72,102,36,34,28,26,0,13,34,34,15,24,28,29,137,120,87,51,52,46,27,27,58,34,220,255,10,15,26,25,18,19,10,17,24,28,6,11,23,22,0,13,7,12,650,215,8,16,0,13,0,13,0,13,0,13,0,13,16,19,51,44,90,66,77,60,23,23,46,37,20,24,135,193,51,38,46,39,36,33,0,13,0,13,16,19,25,22,10,15,0,13
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,819,232,405,124,30,34,8,12,13,17,0,13,0,13,14,20,0,13,23,25,27,34,35,32,72,59,23,24,12,14,33,28,16,18,15,19,12,18,27,31,0,13,5,8,25,23,9,12,6,10,414,144,4,6,18,31,45,58,1,2,7,12,17,25,4,7,0,13,33,38,19,21,13,14,63,57,9,14,21,21,17,19,18,28,0,13,17,19,0,13,27,26,53,39,20,20,8,12
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,1529,336,661,183,16,24,7,12,24,35,0,13,0,13,0,13,0,13,17,26,66,52,77,55,55,45,7,11,45,33,58,42,52,42,61,78,20,22,34,43,54,58,33,32,35,24,0,13,0,13,868,210,45,39,23,25,35,34,29,27,21,27,0,13,0,13,0,13,79,52,91,59,76,41,40,36,80,96,9,15,90,62,21,25,27,28,31,25,40,34,74,45,9,14,29,27,19,21
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,1394,356,630,168,0,13,0,13,0,13,8,11,6,8,0,13,0,13,26,31,91,81,70,57,137,89,83,59,28,26,54,63,36,45,21,24,43,35,0,13,20,22,7,11,0,13,0,13,0,13,764,234,22,25,106,110,11,18,0,13,0,13,0,13,0,13,21,25,127,80,67,46,83,76,46,38,32,46,22,19,68,60,10,16,25,22,0,13,25,27,0,13,35,51,64,106,0,13
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,1705,468,819,387,213,210,170,144,0,13,0,13,0,13,0,13,0,13,0,13,19,29,193,89,21,31,0,13,0,13,113,139,14,21,0,13,20,32,0,13,0,13,12,19,44,37,0,13,0,13,886,357,54,83,16,25,105,85,172,136,0,13,0,13,0,13,41,38,26,29,54,81,20,31,31,40,22,24,36,33,41,46,0,13,7,12,14,27,0,13,201,267,11,18,31,56,4,8
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,571,270,157,107,99,97,0,13,36,43,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,18,29,0,13,4,7,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,414,195,76,77,66,65,36,54,0,13,0,13,54,84,0,13,0,13,44,64,54,58,53,58,0,13,0,13,0,13,11,22,0,13,0,13,20,31,0,13,0,13,0,13,0,13,0,13
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,1366,524,588,225,107,110,58,51,123,120,0,13,0,13,0,13,0,13,40,52,0,13,0,13,39,50,22,30,10,20,133,81,0,13,0,13,0,13,0,13,0,13,26,41,23,35,0,13,7,12,778,325,40,63,58,50,58,66,0,13,0,13,0,13,0,13,27,45,57,69,145,85,38,50,149,221,0,13,74,48,26,43,59,77,0,13,27,31,0,13,0,13,20,37,0,13,0,13
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,1339,528,793,461,16,26,0,13,0,13,0,13,0,13,0,13,70,79,62,43,235,194,60,48,195,281,54,69,0,13,0,13,12,19,0,13,28,43,32,37,16,25,0,13,13,20,0,13,0,13,546,272,0,13,20,32,32,50,0,13,75,112,63,93,56,88,52,49,58,52,27,30,16,24,6,9,31,49,0,13,71,62,0,13,0,13,0,13,28,44,0,13,11,16,0,13,0,13
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,1511,448,639,254,97,116,32,46,21,31,13,21,0,13,3,9,28,46,0,13,50,60,126,132,130,126,16,27,0,13,43,50,0,13,0,13,7,15,32,37,15,24,11,18,8,13,7,14,0,13,872,275,96,90,0,13,0,13,29,46,77,121,34,55,0,13,91,95,51,61,174,128,26,29,3,9,120,81,10,16,0,13,0,13,61,47,7,15,0,13,43,49,26,36,14,29,10,21
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,809,422,501,252,0,13,60,64,54,58,60,65,0,13,0,13,0,13,0,13,127,137,58,94,0,13,12,18,25,39,47,72,0,13,22,37,9,15,0,13,27,43,0,13,0,13,0,13,0,13,308,198,0,13,0,13,47,63,0,13,0,13,0,13,0,13,0,13,12,21,89,115,55,58,0,13,0,13,0,13,105,126,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,2409,420,996,210,75,97,95,102,29,31,67,42,83,81,24,26,1,2,67,60,69,46,89,59,49,50,44,44,53,52,35,37,94,50,15,16,18,20,15,16,6,9,14,12,19,23,14,17,21,21,1413,341,16,19,150,132,54,97,48,49,28,33,17,26,104,121,233,128,170,76,91,80,47,58,16,20,54,37,88,61,86,58,37,23,33,25,6,9,21,29,55,29,4,8,0,13,55,54
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,2681,416,1327,278,168,162,23,21,79,59,24,38,10,12,24,25,20,20,77,38,190,103,37,21,89,45,175,112,74,48,43,30,102,52,63,32,36,30,6,10,0,13,28,24,4,6,34,27,21,29,1354,248,126,111,70,49,36,22,30,28,0,13,17,26,13,20,78,86,281,123,34,32,87,41,131,57,69,38,59,33,125,47,14,15,42,24,16,17,38,27,20,16,27,26,20,25,21,28
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,2060,525,1075,316,66,97,21,39,26,59,0,13,50,72,80,83,23,39,112,86,330,178,154,157,0,13,19,27,80,66,53,81,0,13,0,13,0,13,0,13,46,32,15,19,0,13,0,13,0,13,985,331,106,57,100,128,8,15,0,13,64,86,79,92,61,93,157,134,170,177,6,11,13,30,69,70,29,40,58,70,28,40,0,13,20,25,0,13,9,16,8,13,0,13,0,13,0,13
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,840,230,400,153,0,13,0,13,0,13,0,13,0,13,0,13,0,13,39,46,115,108,70,56,15,24,0,13,30,37,21,27,0,13,27,35,9,19,0,13,0,13,27,38,32,36,15,22,0,13,440,141,19,26,0,13,15,28,0,13,0,13,0,13,0,13,39,49,75,90,85,59,29,47,0,13,12,23,8,19,23,36,16,28,18,24,0,13,23,38,46,39,0,13,0,13,32,36
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,990,473,488,248,0,13,20,39,15,27,19,30,10,25,0,13,15,24,15,20,82,99,43,55,42,52,12,19,163,118,6,17,3,7,16,25,0,13,0,13,0,13,7,12,0,13,20,23,0,13,502,316,0,13,0,13,2,6,0,13,30,50,114,153,0,13,49,76,46,52,0,13,166,160,0,13,38,30,0,13,8,19,0,13,0,13,17,20,0,13,23,36,9,14,0,13,0,13
