Geography,Geographic Area Name,Total Population,Total Population MOE,Male,Male MOE,Male Under 5 years,Male Under 5 years MOE,Male 5 to 9 years,Male 5 to 9 years MOE,Male 10 to 14 years,Male 10 to 14 years MOE,Male 15 to 17 years,Male 15 to 17 years MOE,Male 18 and 19 years,Male 18 and 19 years MOE,Male 20 years,Male 20 years MOE,Male 21 years,Male 21 years MOE,Male 22 to 24 years,Male 22 to 24 years MOE,Male 25 to 29 years,Male 25 to 29 years MOE,Male 30 to 34 years,Male 30 to 34 years MOE,Male 35 to 39 years,Male 35 to 39 years MOE,Male 40 to 44 years,Male 40 to 44 years MOE,Male 45 to 49 years,Male 45 to 49 years MOE,Male 50 to 54 years,Male 50 to 54 years MOE,Male 55 to 59 years,Male 55 to 59 years MOE,Male 60 and 61 years,Male 60 and 61 years MOE,Male 62 to 64 years,Male 62 to 64 years MOE,Male 65 and 66 years,Male 65 and 66 years MOE,Male 67 to 69 years,Male 67 to 69 years MOE,Male 70 to 74 years,Male 70 to 74 years MOE,Male 75 to 79 years,Male 75 to 79 years MOE,Male 80 to 84 years,Male 80 to 84 years MOE,Male 85 years and over,Male 85 years and over MOE,Female,Female MOE,Female Under 5 years,Female Under 5 years MOE,Female 5 to 9 years,Female 5 to 9 years MOE,Female 10 to 14 years,Female 10 to 14 years MOE,Female 15 to 17 years,Female 15 to 17 years MOE,Female 18 and 19 years,Female 18 and 19 years MOE,Female 20 years,Female 20 years MOE,Female 21 years,Female 21 years MOE,Female 22 to 24 years,Female 22 to 24 years MOE,Female 25 to 29 years,Female 25 to 29 years MOE,Female 30 to 34 years,Female 30 to 34 years MOE,Female 35 to 39 years,Female 35 to 39 years MOE,Female 40 to 44 years,Female 40 to 44 years MOE,Female 45 to 49 years,Female 45 to 49 years MOE,Female 50 to 54 years,Female 50 to 54 years MOE,Female 55 to 59 years,Female 55 to 59 years MOE,Female 60 and 61 years,Female 60 and 61 years MOE,Female 62 to 64 years,Female 62 to 64 years MOE,Female 65 and 66 years,Female 65 and 66 years MOE,Female 67 to 69 years,Female 67 to 69 years MOE,Female 70 to 74 years,Female 70 to 74 years MOE,Female 75 to 79 years,Female 75 to 79 years MOE,Female 80 to 84 years,Female 80 to 84 years MOE,Female 85 years and over,Female 85 years and over MOE
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,1037,345,583,245,0,13,0,13,0,13,0,13,0,13,65,102,0,13,105,119,51,74,109,87,26,45,74,113,0,13,0,13,44,52,32,52,38,45,0,13,0,13,29,44,0,13,10,16,0,13,454,246,0,13,0,13,0,13,0,13,0,13,149,149,0,13,76,92,18,28,0,13,106,129,17,26,0,13,0,13,49,55,0,13,0,13,0,13,0,13,0,13,29,34,10,15,0,13
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,1354,415,603,202,7,11,3,7,2,7,0,13,25,41,0,13,0,13,0,13,65,77,77,73,17,28,112,107,10,17,64,89,69,67,0,13,77,77,15,18,0,13,24,26,9,14,8,13,19,23,751,266,80,94,2,6,44,75,0,13,0,13,0,13,0,13,0,13,169,138,51,43,95,88,47,69,5,8,100,102,20,34,15,24,9,12,0,13,27,26,57,47,9,15,9,14,12,20
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,1769,567,1004,328,0,13,13,22,73,70,35,36,0,13,0,13,0,13,224,252,211,110,85,101,76,88,12,20,37,41,36,36,114,142,0,13,0,13,27,42,15,24,13,21,14,22,19,21,0,13,765,311,46,51,0,13,13,21,0,13,0,13,0,13,20,36,43,52,205,264,27,31,71,49,11,18,49,34,41,41,62,81,28,30,77,71,0,13,29,49,8,13,0,13,14,17,21,23
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,1279,515,685,283,0,13,0,13,1,12,0,13,208,158,74,66,71,67,127,106,89,69,0,13,0,13,1,12,0,13,46,38,25,27,0,13,0,13,12,20,0,13,10,17,10,17,11,18,0,13,594,276,30,36,2,27,2,27,0,13,246,172,77,69,61,50,97,69,15,24,0,13,0,13,1,12,1,3,0,13,0,13,0,13,0,13,0,13,8,13,10,17,23,21,0,13,21,23
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,2312,646,1223,365,0,13,56,86,0,13,33,53,278,210,169,97,284,255,144,106,12,19,81,93,90,89,0,13,0,13,9,17,37,37,0,13,11,17,19,23,0,13,0,13,0,13,0,13,0,13,1089,364,11,19,40,50,55,65,3,6,385,220,182,112,149,108,95,83,12,21,0,13,109,118,10,18,23,28,0,13,8,14,0,13,7,15,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,812,400,478,287,15,25,0,13,0,13,0,13,0,13,28,42,28,42,41,51,41,60,75,76,46,72,0,13,11,17,22,24,96,102,0,13,17,18,0,13,40,41,0,13,18,19,0,13,0,13,334,155,0,13,20,27,34,36,28,43,0,13,0,13,0,13,0,13,50,81,25,41,28,30,20,25,35,45,0,13,4,6,26,47,10,16,0,13,30,39,24,27,0,13,0,13,0,13
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,804,202,420,130,29,29,33,32,66,83,0,13,0,13,0,13,0,13,5,8,27,42,37,35,26,26,42,35,14,15,25,25,20,19,19,17,6,9,6,10,17,15,11,12,21,26,10,11,6,9,384,91,16,17,23,36,0,13,9,14,0,13,8,13,0,13,17,18,32,30,23,20,31,37,21,19,21,20,20,20,15,16,0,13,19,16,6,8,7,10,68,38,11,12,26,27,11,12
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,1133,223,589,129,49,38,23,21,21,26,30,30,14,19,0,13,8,10,8,9,25,31,35,23,8,12,59,33,64,49,36,26,35,19,13,13,0,13,65,69,33,37,37,28,9,13,6,9,11,12,544,130,45,37,27,17,53,35,38,25,0,13,0,13,10,14,0,13,9,13,36,23,45,35,12,14,61,50,34,28,34,22,8,12,28,27,26,20,18,15,0,13,10,12,26,22,24,18
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,1765,314,841,173,95,53,72,62,51,38,10,18,7,12,0,13,19,27,32,43,38,32,104,59,71,51,26,25,52,32,48,40,43,36,37,49,21,22,25,26,16,19,28,22,10,18,5,10,31,28,924,221,104,52,83,67,24,29,38,37,0,13,0,13,63,99,0,13,36,35,78,54,134,60,34,26,86,65,61,36,29,26,18,21,27,23,16,19,34,29,18,19,7,11,13,16,21,20
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,893,326,357,123,15,24,43,64,22,25,10,16,13,17,10,16,0,13,0,13,0,13,78,45,0,13,0,13,54,44,26,31,18,21,9,14,0,13,0,13,24,21,12,13,6,9,11,13,6,10,536,221,45,57,19,30,25,22,60,57,0,13,0,13,22,26,10,14,26,29,54,39,61,93,26,31,78,59,23,21,0,13,0,13,17,21,0,13,14,16,26,33,12,13,12,14,6,9
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,992,297,376,126,9,15,10,16,22,35,0,13,0,13,0,13,0,13,0,13,10,16,0,13,0,13,59,64,37,36,29,45,17,19,6,9,11,19,68,76,36,39,10,15,21,20,12,13,19,17,616,220,0,13,18,22,56,67,82,74,22,28,0,13,0,13,11,18,0,13,13,20,8,14,10,16,39,39,8,13,70,48,49,42,69,82,8,13,0,13,38,38,57,51,13,15,45,41
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,1006,279,397,133,30,26,0,13,0,13,12,20,0,13,10,16,0,13,0,13,8,13,35,39,0,13,13,23,1,3,75,74,88,76,7,12,0,13,2,8,42,42,0,13,32,30,6,11,36,29,609,188,41,43,12,20,31,37,48,57,0,13,0,13,0,13,0,13,35,40,52,48,12,21,0,13,121,100,78,72,14,16,24,37,0,13,0,13,0,13,49,39,7,11,46,39,39,55
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,1402,339,692,163,49,48,132,79,38,35,32,36,0,13,0,13,0,13,16,26,9,15,0,13,52,44,73,52,0,13,22,19,83,58,29,33,38,30,0,13,0,13,47,32,42,35,17,18,13,21,710,212,5,8,23,29,44,37,25,31,26,39,0,13,0,13,0,13,31,37,16,18,71,50,96,49,10,17,61,46,58,42,8,12,26,32,7,11,115,158,36,27,25,23,27,25,0,13
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,1091,249,555,132,13,22,11,16,13,20,34,44,0,13,18,25,0,13,0,13,45,41,41,45,14,23,9,14,20,23,68,49,49,38,26,30,39,47,10,16,32,28,49,32,27,26,20,23,17,15,536,134,26,30,0,13,19,29,37,50,25,25,0,13,0,13,37,41,18,26,2,10,21,25,37,34,39,36,48,48,26,29,38,44,50,37,10,16,10,14,54,37,15,19,10,16,14,22
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,2202,268,910,174,0,13,61,46,57,35,16,18,0,13,0,13,7,13,29,24,81,38,0,13,38,37,61,43,45,38,14,15,97,53,132,75,33,26,29,26,25,32,75,44,29,25,22,21,59,35,1292,228,18,24,62,45,102,52,64,64,0,13,0,13,0,13,29,28,116,43,24,25,38,31,45,41,24,25,35,25,136,53,65,57,23,19,30,26,44,40,135,121,71,49,70,58,161,67
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,2238,205,1158,115,63,55,58,30,113,45,69,46,8,9,6,10,0,13,10,11,35,41,49,26,36,35,73,28,69,45,81,42,49,31,55,30,59,29,37,22,66,34,69,35,50,23,54,52,49,29,1080,131,47,34,93,57,69,29,60,37,18,13,13,14,13,14,19,19,41,32,61,28,40,26,63,30,65,47,37,23,103,46,43,26,60,27,9,10,23,17,44,26,34,19,71,55,54,28
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,675,199,392,173,58,56,19,21,12,17,0,13,0,13,10,16,0,13,22,27,22,25,145,144,25,34,16,18,12,18,19,24,25,26,0,13,0,13,0,13,0,13,7,12,0,13,0,13,0,13,283,88,18,23,33,47,5,8,0,13,0,13,0,13,0,13,32,31,32,35,22,29,11,15,1,2,0,13,53,39,12,19,0,13,0,13,0,13,10,15,45,44,9,15,0,13,0,13
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,1526,513,658,196,49,44,29,33,20,22,20,23,0,13,0,13,0,13,8,13,60,47,152,139,80,45,22,23,24,36,45,36,40,33,25,30,24,25,13,17,20,27,0,13,19,21,0,13,8,13,868,342,131,167,31,28,0,13,38,60,12,21,0,13,42,60,37,41,97,62,199,142,51,34,0,13,23,23,42,32,27,24,25,29,36,33,11,21,5,8,9,14,13,16,18,19,21,28
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,455,207,187,136,0,13,25,39,9,14,0,13,0,13,0,13,0,13,0,13,0,13,11,29,20,24,0,13,69,78,26,39,0,13,12,19,0,13,0,13,0,13,15,24,0,13,0,13,0,13,268,145,0,13,8,13,53,58,0,13,0,13,0,13,0,13,0,13,0,13,0,13,21,24,0,13,37,52,0,13,0,13,30,39,14,24,62,99,0,13,32,35,11,18,0,13,0,13
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,1001,409,509,309,13,20,18,28,0,13,32,51,0,13,0,13,0,13,33,43,9,14,81,120,70,78,83,73,29,35,35,38,1,3,39,44,56,75,0,13,0,13,0,13,0,13,10,16,0,13,492,239,38,55,0,13,26,42,35,56,0,13,0,13,0,13,66,86,0,13,28,41,0,13,34,40,80,71,20,25,19,21,31,33,21,30,0,13,57,61,14,23,1,2,14,21,8,13
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,989,472,543,265,248,247,22,35,0,13,15,27,0,13,0,13,0,13,25,22,32,49,0,13,12,20,0,13,0,13,0,13,12,25,0,13,56,70,13,21,39,35,34,45,25,28,10,15,0,13,446,231,17,26,0,13,0,13,15,25,0,13,0,13,0,13,62,58,10,11,13,20,5,9,0,13,12,26,70,44,170,223,10,17,13,22,4,8,5,10,22,34,9,13,9,15,0,13
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,1463,297,678,170,39,49,81,75,26,25,19,26,34,54,39,41,21,31,17,25,131,65,24,24,29,30,16,21,8,14,33,40,0,13,32,40,48,50,2,6,7,13,13,25,12,14,0,13,47,43,785,209,21,28,60,52,17,29,4,9,93,79,0,13,37,53,27,45,112,111,73,63,14,22,71,52,26,33,6,12,23,32,18,23,17,20,2,6,6,12,23,22,35,38,45,27,55,37
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,472,119,190,85,4,8,0,13,6,10,0,13,21,33,0,13,1,3,15,24,17,19,0,13,17,28,0,13,11,14,5,8,0,13,0,13,1,2,50,66,9,13,33,48,0,13,0,13,0,13,282,89,11,16,15,22,0,13,0,13,0,13,22,33,0,13,13,21,26,26,20,22,18,20,11,17,15,25,23,26,64,52,0,13,11,18,1,5,0,13,7,11,11,14,14,20,0,13
1500000US010890023001,Block Group 1; Census Tract 23; Madison County; Alabama,871,497,405,232,0,13,37,68,18,35,78,117,4,9,0,13,0,13,66,69,0,13,0,13,36,48,25,40,16,27,76,105,0,13,0,13,34,57,0,13,15,25,0,13,0,13,0,13,0,13,466,332,19,37,66,100,0,13,73,110,0,13,0,13,0,13,34,57,39,47,15,29,0,13,64,99,5,13,104,137,15,23,0,13,14,23,0,13,0,13,18,29,0,13,0,13,0,13
1500000US010890023002,Block Group 2; Census Tract 23; Madison County; Alabama,1531,479,613,320,84,109,0,13,116,143,0,13,0,13,0,13,0,13,35,53,18,29,42,53,16,24,133,196,108,128,0,13,8,15,3,15,0,13,0,13,0,13,18,30,18,31,0,13,14,23,918,308,43,54,222,120,75,75,0,13,149,107,0,13,0,13,16,26,0,13,239,149,20,46,36,43,0,13,13,20,61,69,0,13,2,14,0,13,0,13,16,27,12,19,14,22,0,13
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,1167,807,721,551,0,13,0,13,0,13,0,13,13,29,0,13,0,13,16,26,0,13,18,29,66,100,26,43,0,13,36,53,15,43,17,29,383,528,18,28,0,13,58,62,18,30,8,13,29,45,446,270,0,13,0,13,0,13,0,13,0,13,0,13,16,27,0,13,0,13,0,13,18,40,0,13,61,63,12,19,0,13,0,13,17,27,0,13,10,17,104,85,0,13,193,246,15,42
1500000US010890023004,Block Group 4; Census Tract 23; Madison County; Alabama,1465,503,661,359,95,130,0,13,0,13,16,27,0,13,0,13,0,13,83,79,0,13,100,135,43,68,0,13,27,34,16,25,127,126,0,13,0,13,140,162,14,23,0,13,0,13,0,13,0,13,804,294,0,13,0,13,75,119,0,13,11,18,47,77,37,64,154,152,31,54,0,13,32,38,57,70,0,13,95,105,98,84,0,13,13,20,0,13,0,13,55,72,16,26,9,15,74,67
1500000US010890024001,Block Group 1; Census Tract 24; Madison County; Alabama,663,507,327,211,4,39,5,59,0,13,0,13,0,13,0,13,1,2,0,13,42,73,47,65,0,13,63,78,65,103,1,4,0,13,0,13,77,107,0,13,22,36,0,13,0,13,0,13,0,13,336,429,150,244,0,13,41,66,2,4,0,13,0,13,95,169,4,39,0,13,0,13,0,13,41,66,0,13,1,2,0,13,0,13,2,5,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,1176,546,566,256,102,96,73,75,50,63,28,43,0,13,0,13,4,10,0,13,53,64,0,13,0,13,78,118,84,100,0,13,15,24,14,29,29,45,0,13,17,29,0,13,19,30,0,13,0,13,610,359,0,13,0,13,81,82,56,72,32,52,3,6,0,13,0,13,48,68,110,102,50,63,67,107,27,41,0,13,32,56,0,13,43,58,0,13,47,45,0,13,14,21,0,13,0,13
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,1025,503,515,350,0,13,49,85,0,13,0,13,24,41,0,13,0,13,0,13,91,139,0,13,56,89,145,206,0,13,83,133,0,13,0,13,0,13,2,4,0,13,59,59,0,13,0,13,6,13,510,277,0,13,0,13,0,13,71,106,0,13,0,13,0,13,0,13,0,13,0,13,39,55,82,84,109,130,43,76,0,13,0,13,1,2,90,131,22,35,0,13,8,14,23,37,22,35
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,1124,650,595,446,0,13,169,245,0,13,0,13,0,13,0,13,0,13,0,13,138,157,57,78,21,48,0,13,0,13,39,60,75,108,65,99,0,13,0,13,0,13,0,13,0,13,23,35,8,21,529,247,0,13,0,13,0,13,0,13,0,13,0,13,0,13,23,39,143,112,91,135,36,56,0,13,90,106,12,41,0,13,58,60,0,13,0,13,24,38,23,36,0,13,8,21,21,35
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,892,286,376,176,28,37,0,13,0,13,0,13,0,13,21,29,0,13,17,27,136,110,0,13,48,88,14,25,0,13,40,59,18,30,0,13,38,63,16,30,0,13,0,13,0,13,0,13,0,13,516,200,20,35,0,13,0,13,0,13,0,13,0,13,30,38,82,80,159,153,0,13,54,47,0,13,38,38,0,13,8,21,51,58,0,13,14,22,60,48,0,13,0,13,0,13,0,13
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,1009,508,519,277,0,13,78,94,95,82,63,60,0,13,0,13,0,13,42,51,117,96,27,35,0,13,6,9,0,13,55,46,15,24,0,13,0,13,5,10,0,13,16,25,0,13,0,13,0,13,490,293,120,129,126,96,0,13,0,13,0,13,19,29,35,60,37,61,70,67,0,13,14,23,17,26,34,39,17,27,0,13,0,13,0,13,0,13,1,2,0,13,0,13,0,13,0,13
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,1295,538,622,322,0,13,59,68,33,54,25,42,67,106,48,77,0,13,15,22,0,13,23,32,0,13,21,34,115,117,199,197,0,13,0,13,0,13,17,27,0,13,0,13,0,13,0,13,0,13,673,372,164,186,114,100,49,78,20,35,0,13,0,13,0,13,39,59,19,28,23,36,62,72,69,69,77,113,37,60,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,713,319,288,141,19,42,84,73,0,13,0,13,0,13,0,13,8,19,32,37,15,42,5,29,0,13,14,31,0,13,34,48,0,13,0,13,59,59,0,13,0,13,0,13,18,29,0,13,0,13,425,212,6,31,0,13,130,134,39,51,0,13,0,13,10,22,0,13,23,45,67,74,0,13,0,13,0,13,28,50,63,53,0,13,18,31,0,13,0,13,18,25,0,13,0,13,23,28
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,1557,764,796,429,0,13,101,138,0,13,0,13,21,36,0,13,0,13,83,76,74,78,27,31,0,13,303,381,47,79,109,101,0,13,2,5,13,21,0,13,8,15,8,15,0,13,0,13,0,13,761,428,75,82,85,100,0,13,84,132,0,13,23,38,36,58,47,57,76,75,91,100,12,20,0,13,42,58,24,36,0,13,0,13,115,131,0,13,0,13,34,57,0,13,17,27,0,13
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,1242,406,576,180,13,20,84,125,0,13,18,33,22,35,16,35,8,17,20,31,17,29,46,77,55,71,70,53,13,23,53,68,29,34,27,44,55,44,0,13,7,20,18,31,0,13,5,13,0,13,666,281,89,130,0,13,0,13,0,13,0,13,10,21,34,50,0,13,136,146,128,154,22,55,141,112,7,13,0,13,11,18,26,36,0,13,21,24,0,13,0,13,22,42,0,13,19,26
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,1191,316,696,278,0,13,0,13,0,13,0,13,0,13,71,81,33,52,58,72,215,224,11,18,0,13,18,37,17,26,64,82,20,29,9,14,18,22,0,13,16,27,50,57,13,21,30,39,53,35,495,182,0,13,15,27,0,13,46,72,0,13,0,13,0,13,39,67,13,22,13,21,0,13,0,13,0,13,13,22,30,52,96,81,9,16,13,15,20,23,62,43,32,30,20,26,74,58
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,869,245,460,167,37,49,0,13,33,41,0,13,0,13,0,13,0,13,0,13,79,109,23,26,0,13,23,29,51,44,9,17,28,32,13,22,0,13,61,57,0,13,19,30,24,26,43,37,17,28,409,115,28,28,10,16,19,33,25,32,0,13,0,13,0,13,0,13,0,13,37,49,10,17,8,13,26,33,18,28,16,28,41,57,33,37,8,15,0,13,31,35,22,25,45,39,32,32
1500000US010890026003,Block Group 3; Census Tract 26; Madison County; Alabama,1926,386,831,203,40,37,128,97,29,33,0,13,13,23,0,13,0,13,12,19,85,63,130,102,146,104,22,31,21,23,27,22,14,24,10,18,89,69,0,13,38,39,0,13,17,24,10,15,0,13,1095,309,20,24,71,42,6,11,0,13,0,13,0,13,0,13,10,16,100,65,332,277,23,28,62,35,34,39,39,34,34,40,10,18,57,59,74,71,18,29,68,53,23,29,0,13,114,110
1500000US010890027011,Block Group 1; Census Tract 27.01; Madison County; Alabama,1199,257,599,146,34,37,0,13,36,34,22,24,0,13,8,12,0,13,11,19,38,33,68,52,10,16,26,42,0,13,9,16,84,58,43,28,60,56,15,18,9,14,42,29,10,15,38,34,36,31,600,146,48,55,0,13,0,13,47,46,1,5,0,13,0,13,0,13,49,42,52,46,0,13,17,22,17,18,0,13,41,43,49,30,20,17,26,24,49,50,36,25,52,30,82,51,14,18
1500000US010890027012,Block Group 2; Census Tract 27.01; Madison County; Alabama,1655,470,899,377,66,71,28,39,27,36,16,27,33,35,24,31,0,13,8,12,25,41,152,84,217,305,38,40,40,35,33,32,10,16,10,16,39,41,27,42,10,14,20,30,21,24,9,13,46,46,756,221,56,56,0,13,25,35,0,13,32,35,0,13,9,14,96,94,48,36,37,36,70,77,38,45,0,13,73,48,109,85,0,13,0,13,0,13,21,23,6,10,0,13,116,110,20,21
1500000US010890027211,Block Group 1; Census Tract 27.21; Madison County; Alabama,1925,467,998,383,114,153,104,89,75,81,18,20,0,13,15,27,8,14,0,13,57,43,40,52,46,31,24,34,45,28,20,23,59,41,13,20,29,30,21,24,41,31,50,38,44,41,124,68,51,62,927,147,36,32,53,33,16,17,40,34,0,13,0,13,0,13,9,15,14,20,82,67,27,26,29,21,6,11,37,31,50,38,85,48,83,44,24,22,29,26,55,30,77,39,79,49,96,67
1500000US010890027212,Block Group 2; Census Tract 27.21; Madison County; Alabama,2340,418,1068,169,41,34,48,49,38,26,18,23,10,12,0,13,65,78,19,28,127,87,98,65,84,48,12,16,18,20,25,22,117,52,83,56,10,16,44,36,18,19,33,30,16,17,77,56,67,56,1272,318,100,70,59,42,30,24,8,13,9,13,0,13,0,13,53,40,144,93,95,56,51,40,16,20,30,27,59,35,165,208,13,21,156,77,20,23,19,21,26,31,68,69,124,90,27,24
1500000US010890027221,Block Group 1; Census Tract 27.22; Madison County; Alabama,1166,318,587,146,40,47,47,51,31,32,42,42,0,13,0,13,0,13,8,12,8,12,7,12,113,84,11,21,21,21,30,27,25,22,13,21,51,37,6,10,21,23,42,32,29,24,13,19,29,25,579,183,32,44,39,50,18,14,16,18,0,13,0,13,0,13,7,12,45,52,0,13,77,82,27,34,39,29,45,33,7,16,21,21,42,37,11,18,20,22,64,50,24,24,25,23,20,22
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,1775,290,816,206,70,46,51,37,0,13,9,14,30,30,0,13,0,13,32,26,77,58,32,29,42,49,0,13,16,17,48,27,81,57,27,24,17,21,47,40,39,30,58,39,11,17,129,165,0,13,959,173,30,26,56,46,32,41,10,14,30,39,0,13,0,13,119,96,127,94,16,20,22,21,22,26,73,58,54,36,48,44,20,21,70,38,40,30,31,21,51,31,69,48,31,32,8,18
1500000US010890028011,Block Group 1; Census Tract 28.01; Madison County; Alabama,1422,428,739,262,23,32,97,97,33,43,22,36,23,41,0,13,0,13,11,19,0,13,150,134,66,49,22,38,47,52,14,24,26,40,26,27,14,23,0,13,60,46,56,48,39,44,0,13,10,18,683,211,42,39,28,37,22,36,0,13,39,63,0,13,0,13,0,13,15,24,111,125,79,65,39,45,20,24,0,13,30,46,24,26,30,35,25,42,0,13,96,61,38,54,12,20,33,44
1500000US010890028012,Block Group 2; Census Tract 28.01; Madison County; Alabama,1799,473,950,281,9,13,68,87,19,30,22,34,56,65,9,15,0,13,85,86,93,132,37,37,98,99,116,131,20,31,16,31,147,111,19,30,0,13,11,17,22,26,12,21,47,49,10,17,34,33,849,295,6,11,62,101,41,42,113,148,15,24,0,13,0,13,0,13,80,89,21,25,18,22,19,28,0,13,33,34,146,142,0,13,72,92,10,18,37,34,89,72,52,46,10,17,25,37
1500000US010890028013,Block Group 3; Census Tract 28.01; Madison County; Alabama,1374,420,709,368,0,13,0,13,0,13,19,30,120,81,0,13,0,13,231,315,117,141,44,41,16,26,0,13,0,13,14,22,0,13,38,54,16,25,0,13,2,4,14,19,0,13,0,13,78,86,665,193,23,42,0,13,18,30,0,13,0,13,14,27,0,13,83,133,0,13,59,43,30,40,18,28,59,36,0,13,61,61,9,14,17,28,12,19,1,4,38,56,32,35,119,103,72,47
1500000US010890028031,Block Group 1; Census Tract 28.03; Madison County; Alabama,1959,522,958,336,51,64,25,31,40,38,116,88,94,96,37,60,0,13,46,62,0,13,44,42,17,29,98,103,100,92,35,40,69,56,0,13,38,33,60,54,55,43,19,29,0,13,14,24,0,13,1001,247,118,109,46,42,33,35,22,26,41,50,0,13,0,13,70,67,17,21,45,57,82,73,114,76,38,45,36,44,94,73,24,34,95,63,35,26,0,13,60,69,0,13,31,34,0,13
