GEO_ID,NAME,Total,Total_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,457,200
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,230,123
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,574,196
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,435,111
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,376,107
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,630,210
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,927,188
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,642,294
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,883,153
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,171,85
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,835,251
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,367,75
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,305,95
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,430,143
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,447,124
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,325,73
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,452,131
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,311,88
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,250,57
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,412,97
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,361,82
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,489,124
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,230,101
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,540,149
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,574,145
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,775,202
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,539,179
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,461,158
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,442,181
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,616,180
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,850,280
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,460,102
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,891,178
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,843,197
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,618,272
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,234,115
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,576,179
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,815,235
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,662,163
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,458,231
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,1111,176
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,1279,165
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,899,214
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,588,154
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,514,239
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,722,218
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,651,163
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,1068,302
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,177,71
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,327,150
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,305,114
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,379,81
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,485,101
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,655,112
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,388,132
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,435,111
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,504,150
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,558,187
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,453,101
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,1069,123
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,870,94
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,307,75
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,708,182
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,249,129
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,468,140
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,553,247
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,527,139
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,261,77
1500000US010890023001,Block Group 1; Census Tract 23; Madison County; Alabama,436,185
1500000US010890023002,Block Group 2; Census Tract 23; Madison County; Alabama,677,289
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,510,273
1500000US010890023004,Block Group 4; Census Tract 23; Madison County; Alabama,934,285
1500000US010890024001,Block Group 1; Census Tract 24; Madison County; Alabama,355,252
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,564,213
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,673,324
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,625,253
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,651,199
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,353,136
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,465,193
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,182,75
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,554,208
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,802,186
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,661,234
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,392,107
1500000US010890026003,Block Group 3; Census Tract 26; Madison County; Alabama,1118,308
1500000US010890027011,Block Group 1; Census Tract 27.01; Madison County; Alabama,646,103
1500000US010890027012,Block Group 2; Census Tract 27.01; Madison County; Alabama,871,372
1500000US010890027211,Block Group 1; Census Tract 27.21; Madison County; Alabama,822,116
1500000US010890027212,Block Group 2; Census Tract 27.21; Madison County; Alabama,1052,148
1500000US010890027221,Block Group 1; Census Tract 27.22; Madison County; Alabama,439,80
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,834,189
1500000US010890028011,Block Group 1; Census Tract 28.01; Madison County; Alabama,567,171
1500000US010890028012,Block Group 2; Census Tract 28.01; Madison County; Alabama,975,208
1500000US010890028013,Block Group 3; Census Tract 28.01; Madison County; Alabama,1002,364
1500000US010890028031,Block Group 1; Census Tract 28.03; Madison County; Alabama,774,185
1500000US010890028032,Block Group 2; Census Tract 28.03; Madison County; Alabama,1167,170
1500000US010890028041,Block Group 1; Census Tract 28.04; Madison County; Alabama,321,104
1500000US010890028042,Block Group 2; Census Tract 28.04; Madison County; Alabama,900,168
1500000US010890029111,Block Group 1; Census Tract 29.11; Madison County; Alabama,877,153
1500000US010890029112,Block Group 2; Census Tract 29.11; Madison County; Alabama,488,142
1500000US010890029113,Block Group 3; Census Tract 29.11; Madison County; Alabama,499,128
1500000US010890029121,Block Group 1; Census Tract 29.12; Madison County; Alabama,549,83
1500000US010890029122,Block Group 2; Census Tract 29.12; Madison County; Alabama,422,75
1500000US010890029221,Block Group 1; Census Tract 29.22; Madison County; Alabama,614,117
1500000US010890029222,Block Group 2; Census Tract 29.22; Madison County; Alabama,817,129
1500000US010890029223,Block Group 3; Census Tract 29.22; Madison County; Alabama,308,56
1500000US010890029231,Block Group 1; Census Tract 29.23; Madison County; Alabama,588,209
1500000US010890029232,Block Group 2; Census Tract 29.23; Madison County; Alabama,420,152
1500000US010890029233,Block Group 3; Census Tract 29.23; Madison County; Alabama,461,164
1500000US010890029241,Block Group 1; Census Tract 29.24; Madison County; Alabama,625,168
1500000US010890029242,Block Group 2; Census Tract 29.24; Madison County; Alabama,1043,296
1500000US010890030001,Block Group 1; Census Tract 30; Madison County; Alabama,422,122
1500000US010890030002,Block Group 2; Census Tract 30; Madison County; Alabama,626,178
1500000US010890031001,Block Group 1; Census Tract 31; Madison County; Alabama,571,107
1500000US010890031002,Block Group 2; Census Tract 31; Madison County; Alabama,407,122
1500000US010890031003,Block Group 3; Census Tract 31; Madison County; Alabama,545,126
1500000US010890101011,Block Group 1; Census Tract 101.01; Madison County; Alabama,789,156
1500000US010890101012,Block Group 2; Census Tract 101.01; Madison County; Alabama,672,288
1500000US010890101013,Block Group 3; Census Tract 101.01; Madison County; Alabama,687,183
1500000US010890101021,Block Group 1; Census Tract 101.02; Madison County; Alabama,875,229
1500000US010890101022,Block Group 2; Census Tract 101.02; Madison County; Alabama,1272,238
1500000US010890102001,Block Group 1; Census Tract 102; Madison County; Alabama,961,388
1500000US010890102002,Block Group 2; Census Tract 102; Madison County; Alabama,947,162
1500000US010890102003,Block Group 3; Census Tract 102; Madison County; Alabama,536,137
1500000US010890103021,Block Group 1; Census Tract 103.02; Madison County; Alabama,908,217
1500000US010890103022,Block Group 2; Census Tract 103.02; Madison County; Alabama,902,186
1500000US010890103031,Block Group 1; Census Tract 103.03; Madison County; Alabama,662,182
1500000US010890103032,Block Group 2; Census Tract 103.03; Madison County; Alabama,876,386
1500000US010890103041,Block Group 1; Census Tract 103.04; Madison County; Alabama,279,110
1500000US010890103042,Block Group 2; Census Tract 103.04; Madison County; Alabama,353,100
1500000US010890103043,Block Group 3; Census Tract 103.04; Madison County; Alabama,609,184
1500000US010890103044,Block Group 4; Census Tract 103.04; Madison County; Alabama,557,160
1500000US010890104031,Block Group 1; Census Tract 104.03; Madison County; Alabama,648,215
1500000US010890104032,Block Group 2; Census Tract 104.03; Madison County; Alabama,561,133
1500000US010890104041,Block Group 1; Census Tract 104.04; Madison County; Alabama,735,204
1500000US010890104042,Block Group 2; Census Tract 104.04; Madison County; Alabama,432,150
1500000US010890104051,Block Group 1; Census Tract 104.05; Madison County; Alabama,797,261
1500000US010890104052,Block Group 2; Census Tract 104.05; Madison County; Alabama,861,228
1500000US010890104061,Block Group 1; Census Tract 104.06; Madison County; Alabama,492,166
1500000US010890104062,Block Group 2; Census Tract 104.06; Madison County; Alabama,804,218
1500000US010890105021,Block Group 1; Census Tract 105.02; Madison County; Alabama,1043,217
1500000US010890105022,Block Group 2; Census Tract 105.02; Madison County; Alabama,557,92
1500000US010890105031,Block Group 1; Census Tract 105.03; Madison County; Alabama,558,200
1500000US010890105032,Block Group 2; Census Tract 105.03; Madison County; Alabama,536,202
1500000US010890105033,Block Group 3; Census Tract 105.03; Madison County; Alabama,412,178
1500000US010890105034,Block Group 4; Census Tract 105.03; Madison County; Alabama,812,225
1500000US010890105041,Block Group 1; Census Tract 105.04; Madison County; Alabama,1352,262
1500000US010890105042,Block Group 2; Census Tract 105.04; Madison County; Alabama,321,95
1500000US010890105043,Block Group 3; Census Tract 105.04; Madison County; Alabama,290,94
1500000US010890105044,Block Group 4; Census Tract 105.04; Madison County; Alabama,335,114
1500000US010890105045,Block Group 5; Census Tract 105.04; Madison County; Alabama,339,109
1500000US010890106121,Block Group 1; Census Tract 106.12; Madison County; Alabama,515,145
1500000US010890106122,Block Group 2; Census Tract 106.12; Madison County; Alabama,1681,218
1500000US010890106123,Block Group 3; Census Tract 106.12; Madison County; Alabama,1176,256
1500000US010890106231,Block Group 1; Census Tract 106.23; Madison County; Alabama,644,161
1500000US010890106232,Block Group 2; Census Tract 106.23; Madison County; Alabama,1226,472
1500000US010890106233,Block Group 3; Census Tract 106.23; Madison County; Alabama,956,195
1500000US010890106251,Block Group 1; Census Tract 106.25; Madison County; Alabama,778,265
1500000US010890106252,Block Group 2; Census Tract 106.25; Madison County; Alabama,1209,533
1500000US010890106253,Block Group 3; Census Tract 106.25; Madison County; Alabama,277,125
1500000US010890106261,Block Group 1; Census Tract 106.26; Madison County; Alabama,241,105
1500000US010890106262,Block Group 2; Census Tract 106.26; Madison County; Alabama,741,190
1500000US010890106263,Block Group 3; Census Tract 106.26; Madison County; Alabama,778,179
1500000US010890106271,Block Group 1; Census Tract 106.27; Madison County; Alabama,986,274
1500000US010890106272,Block Group 2; Census Tract 106.27; Madison County; Alabama,965,228
1500000US010890106273,Block Group 3; Census Tract 106.27; Madison County; Alabama,859,231
1500000US010890106281,Block Group 1; Census Tract 106.28; Madison County; Alabama,578,214
1500000US010890106282,Block Group 2; Census Tract 106.28; Madison County; Alabama,718,123
1500000US010890106291,Block Group 1; Census Tract 106.29; Madison County; Alabama,855,139
1500000US010890106292,Block Group 2; Census Tract 106.29; Madison County; Alabama,993,195
1500000US010890106301,Block Group 1; Census Tract 106.30; Madison County; Alabama,425,156
1500000US010890106302,Block Group 2; Census Tract 106.30; Madison County; Alabama,765,101
1500000US010890106311,Block Group 1; Census Tract 106.31; Madison County; Alabama,1155,175
1500000US010890106312,Block Group 2; Census Tract 106.31; Madison County; Alabama,900,125
1500000US010890107031,Block Group 1; Census Tract 107.03; Madison County; Alabama,570,127
1500000US010890107032,Block Group 2; Census Tract 107.03; Madison County; Alabama,1571,206
1500000US010890107041,Block Group 1; Census Tract 107.04; Madison County; Alabama,948,204
1500000US010890107042,Block Group 2; Census Tract 107.04; Madison County; Alabama,872,318
1500000US010890107043,Block Group 3; Census Tract 107.04; Madison County; Alabama,766,200
1500000US010890107051,Block Group 1; Census Tract 107.05; Madison County; Alabama,408,137
1500000US010890107052,Block Group 2; Census Tract 107.05; Madison County; Alabama,1213,326
1500000US010890107061,Block Group 1; Census Tract 107.06; Madison County; Alabama,291,89
1500000US010890107062,Block Group 2; Census Tract 107.06; Madison County; Alabama,614,152
1500000US010890107063,Block Group 3; Census Tract 107.06; Madison County; Alabama,844,142
1500000US010890108011,Block Group 1; Census Tract 108.01; Madison County; Alabama,811,198
1500000US010890108012,Block Group 2; Census Tract 108.01; Madison County; Alabama,1149,459
1500000US010890108013,Block Group 3; Census Tract 108.01; Madison County; Alabama,420,146
1500000US010890108021,Block Group 1; Census Tract 108.02; Madison County; Alabama,508,220
1500000US010890108022,Block Group 2; Census Tract 108.02; Madison County; Alabama,963,247
1500000US010890108023,Block Group 3; Census Tract 108.02; Madison County; Alabama,788,282
1500000US010890109021,Block Group 1; Census Tract 109.02; Madison County; Alabama,384,76
1500000US010890109022,Block Group 2; Census Tract 109.02; Madison County; Alabama,213,60
1500000US010890109023,Block Group 3; Census Tract 109.02; Madison County; Alabama,475,156
1500000US010890109031,Block Group 1; Census Tract 109.03; Madison County; Alabama,735,191
1500000US010890109032,Block Group 2; Census Tract 109.03; Madison County; Alabama,564,179
1500000US010890109033,Block Group 3; Census Tract 109.03; Madison County; Alabama,1111,317
1500000US010890109041,Block Group 1; Census Tract 109.04; Madison County; Alabama,998,146
1500000US010890109042,Block Group 2; Census Tract 109.04; Madison County; Alabama,424,158
1500000US010890109051,Block Group 1; Census Tract 109.05; Madison County; Alabama,959,395
1500000US010890109052,Block Group 2; Census Tract 109.05; Madison County; Alabama,799,199
1500000US010890109053,Block Group 3; Census Tract 109.05; Madison County; Alabama,1271,228
1500000US010890110121,Block Group 1; Census Tract 110.12; Madison County; Alabama,912,143
1500000US010890110122,Block Group 2; Census Tract 110.12; Madison County; Alabama,693,158
1500000US010890110123,Block Group 3; Census Tract 110.12; Madison County; Alabama,507,114
1500000US010890110131,Block Group 1; Census Tract 110.13; Madison County; Alabama,551,143
1500000US010890110132,Block Group 2; Census Tract 110.13; Madison County; Alabama,849,173
1500000US010890110133,Block Group 3; Census Tract 110.13; Madison County; Alabama,545,114
1500000US010890110211,Block Group 1; Census Tract 110.21; Madison County; Alabama,514,157
1500000US010890110212,Block Group 2; Census Tract 110.21; Madison County; Alabama,898,227
1500000US010890110213,Block Group 3; Census Tract 110.21; Madison County; Alabama,999,338
1500000US010890110231,Block Group 1; Census Tract 110.23; Madison County; Alabama,429,114
1500000US010890110232,Block Group 2; Census Tract 110.23; Madison County; Alabama,638,115
1500000US010890110233,Block Group 3; Census Tract 110.23; Madison County; Alabama,1224,227
1500000US010890110241,Block Group 1; Census Tract 110.24; Madison County; Alabama,783,116
1500000US010890110242,Block Group 2; Census Tract 110.24; Madison County; Alabama,1044,262
1500000US010890110251,Block Group 1; Census Tract 110.25; Madison County; Alabama,335,115
1500000US010890110252,Block Group 2; Census Tract 110.25; Madison County; Alabama,610,178
1500000US010890110253,Block Group 3; Census Tract 110.25; Madison County; Alabama,559,209
1500000US010890110254,Block Group 4; Census Tract 110.25; Madison County; Alabama,924,205
1500000US010890110261,Block Group 1; Census Tract 110.26; Madison County; Alabama,605,167
1500000US010890110262,Block Group 2; Census Tract 110.26; Madison County; Alabama,686,169
1500000US010890110271,Block Group 1; Census Tract 110.27; Madison County; Alabama,747,175
1500000US010890110272,Block Group 2; Census Tract 110.27; Madison County; Alabama,733,199
1500000US010890110281,Block Group 1; Census Tract 110.28; Madison County; Alabama,796,421
1500000US010890110282,Block Group 2; Census Tract 110.28; Madison County; Alabama,575,217
1500000US010890110283,Block Group 3; Census Tract 110.28; Madison County; Alabama,944,233
1500000US010890111001,Block Group 1; Census Tract 111; Madison County; Alabama,74,30
1500000US010890111002,Block Group 2; Census Tract 111; Madison County; Alabama,300,46
1500000US010890112011,Block Group 1; Census Tract 112.01; Madison County; Alabama,672,179
1500000US010890112012,Block Group 2; Census Tract 112.01; Madison County; Alabama,1600,255
1500000US010890112021,Block Group 1; Census Tract 112.02; Madison County; Alabama,889,275
1500000US010890112022,Block Group 2; Census Tract 112.02; Madison County; Alabama,998,295
1500000US010890112023,Block Group 3; Census Tract 112.02; Madison County; Alabama,802,214
1500000US010890112031,Block Group 1; Census Tract 112.03; Madison County; Alabama,393,141
1500000US010890112032,Block Group 2; Census Tract 112.03; Madison County; Alabama,1359,146
1500000US010890112033,Block Group 3; Census Tract 112.03; Madison County; Alabama,641,238
1500000US010890113011,Block Group 1; Census Tract 113.01; Madison County; Alabama,717,100
1500000US010890113012,Block Group 2; Census Tract 113.01; Madison County; Alabama,632,88
1500000US010890113021,Block Group 1; Census Tract 113.02; Madison County; Alabama,623,123
1500000US010890113022,Block Group 2; Census Tract 113.02; Madison County; Alabama,584,173
1500000US010890113023,Block Group 3; Census Tract 113.02; Madison County; Alabama,686,134
1500000US010890114001,Block Group 1; Census Tract 114; Madison County; Alabama,271,98
1500000US010890114002,Block Group 2; Census Tract 114; Madison County; Alabama,223,89
1500000US010890114003,Block Group 3; Census Tract 114; Madison County; Alabama,459,117
1500000US010890114004,Block Group 4; Census Tract 114; Madison County; Alabama,579,178
