GEO_ID,NAME,No Vehicles (Total),No Vehicles (Total)_MOE,No Vehicle Available (Owner occupied),No Vehicle Available (Owner occupied)_MOE,No Vehicle Available (Renter occupied),No Vehicle Available (Renter occupied)_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,46,48.76474136,0,13,46,47
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,122,118.7139419,0,13,122,118
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,24,31.04834939,4,8,20,30
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,8,19.10497317,8,14,0,13
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,7,17.02938637,7,11,0,13
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,32,34.53983208,32,32,0,13
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,14,25.55386468,0,13,14,22
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,19,31.78049716,0,13,19,29
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,31,31.2409987,18,24,13,20
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,9,19.84943324,0,13,9,15
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,34,41.10960958,34,39,0,13
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,10,13.60147051,2,4,8,13
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,45,59.43904441,0,13,45,58
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,48,46.40043103,24,37,24,28
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,11,22.20360331,11,18,0,13
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,7,15.8113883,7,9,0,13
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,31,40.16217126,0,13,31,38
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,8,17.69180601,8,12,0,13
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,107,81.04936767,0,13,107,80
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,8,17.69180601,8,12,0,13
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,12,23.02172887,12,19,0,13
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,259,111.7586686,0,13,259,111
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,93,130.5526714,87,130,6,12
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,9,19.10497317,0,13,9,14
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,30,26.40075756,20,21,10,16
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,31,53.60037313,0,13,31,52
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,7,17.69180601,0,13,7,12
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,80,92.91393867,0,13,80,92
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,66,66.28725368,0,13,66,65
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,47,39.2173431,0,13,47,37
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,72,58.69412236,7,23,65,54
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,49,56.5154846,0,13,49,55
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,10,17.02938637,10,11,0,13
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,19,23.85372088,19,20,0,13
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,56,64.32728814,0,13,56,63
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,16,28.17800561,0,13,16,25
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,45,55.54277631,0,13,45,54
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,11,21.40093456,11,17,0,13
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,80,87.96590248,7,13,73,87
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,22,34.53983208,0,13,22,32
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,6,15.8113883,6,9,0,13
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,13,14.86606875,7,11,6,10
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,83,46.4865572,9,15,74,44
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,5,15.26433752,5,8,0,13
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,5,15.26433752,5,8,0,13
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,139,119.707978,0,13,139,119
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,183,101.8724693,35,53,148,87
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,89,78.85429601,10,17,79,77
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,12,23.02172887,12,19,0,13
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,68,58.00862005,39,47,29,34
1500000US010890023001,Block Group 1; Census Tract 23; Madison County; Alabama,102,135.9595528,88,134,14,23
1500000US010890023002,Block Group 2; Census Tract 23; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890023004,Block Group 4; Census Tract 23; Madison County; Alabama,63,70.72481884,40,59,23,39
1500000US010890024001,Block Group 1; Census Tract 24; Madison County; Alabama,26,53.60037313,0,13,26,52
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,78,75.76938696,17,29,61,70
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,159,156.5407295,0,13,159,156
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,17,40.16217126,0,13,17,38
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,151,116.7261753,0,13,151,116
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,55,66.28725368,0,13,55,65
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,58,90.93404203,0,13,58,90
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,149,158.533908,0,13,149,158
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,31,30.87069808,0,13,31,28
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890026003,Block Group 3; Census Tract 26; Madison County; Alabama,37,59.43904441,0,13,37,58
1500000US010890027011,Block Group 1; Census Tract 27.01; Madison County; Alabama,9,19.10497317,9,14,0,13
1500000US010890027012,Block Group 2; Census Tract 27.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890027211,Block Group 1; Census Tract 27.21; Madison County; Alabama,23,27.29468813,15,24,8,13
1500000US010890027212,Block Group 2; Census Tract 27.21; Madison County; Alabama,10,19.84943324,10,15,0,13
1500000US010890027221,Block Group 1; Census Tract 27.22; Madison County; Alabama,9,18.38477631,9,13,0,13
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,17,29.06888371,0,13,17,26
1500000US010890028011,Block Group 1; Census Tract 28.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890028012,Block Group 2; Census Tract 28.01; Madison County; Alabama,72,123.685084,0,13,72,123
1500000US010890028013,Block Group 3; Census Tract 28.01; Madison County; Alabama,11,22.20360331,0,13,11,18
1500000US010890028031,Block Group 1; Census Tract 28.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890028032,Block Group 2; Census Tract 28.03; Madison County; Alabama,13,24.69817807,13,21,0,13
1500000US010890028041,Block Group 1; Census Tract 28.04; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890028042,Block Group 2; Census Tract 28.04; Madison County; Alabama,16,29.06888371,16,26,0,13
1500000US010890029111,Block Group 1; Census Tract 29.11; Madison County; Alabama,20,25.55386468,20,22,0,13
1500000US010890029112,Block Group 2; Census Tract 29.11; Madison County; Alabama,31,49.72926704,31,48,0,13
1500000US010890029113,Block Group 3; Census Tract 29.11; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890029121,Block Group 1; Census Tract 29.12; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890029122,Block Group 2; Census Tract 29.12; Madison County; Alabama,6,17.02938637,6,11,0,13
1500000US010890029221,Block Group 1; Census Tract 29.22; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890029222,Block Group 2; Census Tract 29.22; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890029223,Block Group 3; Census Tract 29.22; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890029231,Block Group 1; Census Tract 29.23; Madison County; Alabama,17,30.87069808,17,28,0,13
1500000US010890029232,Block Group 2; Census Tract 29.23; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890029233,Block Group 3; Census Tract 29.23; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890029241,Block Group 1; Census Tract 29.24; Madison County; Alabama,86,59.43904441,0,13,86,58
1500000US010890029242,Block Group 2; Census Tract 29.24; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890030001,Block Group 1; Census Tract 30; Madison County; Alabama,76,78.08969202,0,13,76,77
1500000US010890030002,Block Group 2; Census Tract 30; Madison County; Alabama,57,74.14849965,0,13,57,73
1500000US010890031001,Block Group 1; Census Tract 31; Madison County; Alabama,58,39.29376541,6,10,52,38
1500000US010890031002,Block Group 2; Census Tract 31; Madison County; Alabama,101,50.08991915,14,22,87,45
1500000US010890031003,Block Group 3; Census Tract 31; Madison County; Alabama,113,85,0,13,113,84
1500000US010890101011,Block Group 1; Census Tract 101.01; Madison County; Alabama,42,41.23105626,16,26,26,32
1500000US010890101012,Block Group 2; Census Tract 101.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890101013,Block Group 3; Census Tract 101.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890101021,Block Group 1; Census Tract 101.02; Madison County; Alabama,46,57.48912941,46,56,0,13
1500000US010890101022,Block Group 2; Census Tract 101.02; Madison County; Alabama,35,55.54277631,35,54,0,13
1500000US010890102001,Block Group 1; Census Tract 102; Madison County; Alabama,13,23.85372088,13,20,0,13
1500000US010890102002,Block Group 2; Census Tract 102; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890102003,Block Group 3; Census Tract 102; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890103021,Block Group 1; Census Tract 103.02; Madison County; Alabama,13,24.69817807,0,13,13,21
1500000US010890103022,Block Group 2; Census Tract 103.02; Madison County; Alabama,12,23.85372088,12,20,0,13
1500000US010890103031,Block Group 1; Census Tract 103.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890103032,Block Group 2; Census Tract 103.03; Madison County; Alabama,37,43.96589587,37,42,0,13
1500000US010890103041,Block Group 1; Census Tract 103.04; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890103042,Block Group 2; Census Tract 103.04; Madison County; Alabama,29,38.60051813,7,11,22,37
1500000US010890103043,Block Group 3; Census Tract 103.04; Madison County; Alabama,19,33.61547263,19,31,0,13
1500000US010890103044,Block Group 4; Census Tract 103.04; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890104031,Block Group 1; Census Tract 104.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890104032,Block Group 2; Census Tract 104.03; Madison County; Alabama,17,30.87069808,0,13,17,28
1500000US010890104041,Block Group 1; Census Tract 104.04; Madison County; Alabama,49,69.23149572,49,68,0,13
1500000US010890104042,Block Group 2; Census Tract 104.04; Madison County; Alabama,15,27.29468813,0,13,15,24
1500000US010890104051,Block Group 1; Census Tract 104.05; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890104052,Block Group 2; Census Tract 104.05; Madison County; Alabama,14,25.55386468,14,22,0,13
1500000US010890104061,Block Group 1; Census Tract 104.06; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890104062,Block Group 2; Census Tract 104.06; Madison County; Alabama,63,82.03657721,63,81,0,13
1500000US010890105021,Block Group 1; Census Tract 105.02; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890105022,Block Group 2; Census Tract 105.02; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890105031,Block Group 1; Census Tract 105.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890105032,Block Group 2; Census Tract 105.03; Madison County; Alabama,16,29.96664813,0,13,16,27
1500000US010890105033,Block Group 3; Census Tract 105.03; Madison County; Alabama,27,45.88027899,0,13,27,44
1500000US010890105034,Block Group 4; Census Tract 105.03; Madison County; Alabama,28,45.88027899,28,44,0,13
1500000US010890105041,Block Group 1; Census Tract 105.04; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890105042,Block Group 2; Census Tract 105.04; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890105043,Block Group 3; Census Tract 105.04; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890105044,Block Group 4; Census Tract 105.04; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890105045,Block Group 5; Census Tract 105.04; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890106121,Block Group 1; Census Tract 106.12; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890106122,Block Group 2; Census Tract 106.12; Madison County; Alabama,15,27.29468813,0,13,15,24
1500000US010890106123,Block Group 3; Census Tract 106.12; Madison County; Alabama,33,40.16217126,0,13,33,38
1500000US010890106231,Block Group 1; Census Tract 106.23; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890106232,Block Group 2; Census Tract 106.23; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890106233,Block Group 3; Census Tract 106.23; Madison County; Alabama,15,28.17800561,15,25,0,13
1500000US010890106251,Block Group 1; Census Tract 106.25; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890106252,Block Group 2; Census Tract 106.25; Madison County; Alabama,107,126.6688596,0,13,107,126
1500000US010890106253,Block Group 3; Census Tract 106.25; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890106261,Block Group 1; Census Tract 106.26; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890106262,Block Group 2; Census Tract 106.26; Madison County; Alabama,15,28.17800561,0,13,15,25
1500000US010890106263,Block Group 3; Census Tract 106.26; Madison County; Alabama,18,32.69556545,0,13,18,30
1500000US010890106271,Block Group 1; Census Tract 106.27; Madison County; Alabama,85,94.89467846,0,13,85,94
1500000US010890106272,Block Group 2; Census Tract 106.27; Madison County; Alabama,107,108.6324077,19,40,88,101
1500000US010890106273,Block Group 3; Census Tract 106.27; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890106281,Block Group 1; Census Tract 106.28; Madison County; Alabama,22,34.53983208,22,32,0,13
1500000US010890106282,Block Group 2; Census Tract 106.28; Madison County; Alabama,12,23.85372088,12,20,0,13
1500000US010890106291,Block Group 1; Census Tract 106.29; Madison County; Alabama,98,77.66595136,89,76,9,16
1500000US010890106292,Block Group 2; Census Tract 106.29; Madison County; Alabama,57,65.30696747,57,64,0,13
1500000US010890106301,Block Group 1; Census Tract 106.30; Madison County; Alabama,14,29.06888371,14,26,0,13
1500000US010890106302,Block Group 2; Census Tract 106.30; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890106311,Block Group 1; Census Tract 106.31; Madison County; Alabama,12,23.02172887,0,13,12,19
1500000US010890106312,Block Group 2; Census Tract 106.31; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890107031,Block Group 1; Census Tract 107.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890107032,Block Group 2; Census Tract 107.03; Madison County; Alabama,23,37.33630941,23,35,0,13
1500000US010890107041,Block Group 1; Census Tract 107.04; Madison County; Alabama,8,19.10497317,8,14,0,13
1500000US010890107042,Block Group 2; Census Tract 107.04; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890107043,Block Group 3; Census Tract 107.04; Madison County; Alabama,15,29.96664813,0,13,15,27
1500000US010890107051,Block Group 1; Census Tract 107.05; Madison County; Alabama,28,33.9705755,14,23,14,25
1500000US010890107052,Block Group 2; Census Tract 107.05; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890107061,Block Group 1; Census Tract 107.06; Madison County; Alabama,5,18.38477631,5,13,0,13
1500000US010890107062,Block Group 2; Census Tract 107.06; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890107063,Block Group 3; Census Tract 107.06; Madison County; Alabama,78,91.92388155,78,91,0,13
1500000US010890108011,Block Group 1; Census Tract 108.01; Madison County; Alabama,45,58.46366393,45,57,0,13
1500000US010890108012,Block Group 2; Census Tract 108.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890108013,Block Group 3; Census Tract 108.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890108021,Block Group 1; Census Tract 108.02; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890108022,Block Group 2; Census Tract 108.02; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890108023,Block Group 3; Census Tract 108.02; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890109021,Block Group 1; Census Tract 109.02; Madison County; Alabama,35,24.41311123,12,14,23,20
1500000US010890109022,Block Group 2; Census Tract 109.02; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890109023,Block Group 3; Census Tract 109.02; Madison County; Alabama,44,49.04079934,11,17,33,46
1500000US010890109031,Block Group 1; Census Tract 109.03; Madison County; Alabama,16,37.33630941,0,13,16,35
1500000US010890109032,Block Group 2; Census Tract 109.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890109033,Block Group 3; Census Tract 109.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890109041,Block Group 1; Census Tract 109.04; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890109042,Block Group 2; Census Tract 109.04; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890109051,Block Group 1; Census Tract 109.05; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890109052,Block Group 2; Census Tract 109.05; Madison County; Alabama,14,26.41968963,14,23,0,13
1500000US010890109053,Block Group 3; Census Tract 109.05; Madison County; Alabama,15,29.96664813,0,13,15,27
1500000US010890110121,Block Group 1; Census Tract 110.12; Madison County; Alabama,17,30.87069808,17,28,0,13
1500000US010890110122,Block Group 2; Census Tract 110.12; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110123,Block Group 3; Census Tract 110.12; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110131,Block Group 1; Census Tract 110.13; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110132,Block Group 2; Census Tract 110.13; Madison County; Alabama,7,19.84943324,7,15,0,13
1500000US010890110133,Block Group 3; Census Tract 110.13; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110211,Block Group 1; Census Tract 110.21; Madison County; Alabama,21,37.33630941,0,13,21,35
1500000US010890110212,Block Group 2; Census Tract 110.21; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110213,Block Group 3; Census Tract 110.21; Madison County; Alabama,91,77.1038261,0,13,91,76
1500000US010890110231,Block Group 1; Census Tract 110.23; Madison County; Alabama,76,70.21395873,0,13,76,69
1500000US010890110232,Block Group 2; Census Tract 110.23; Madison County; Alabama,18,33.61547263,18,31,0,13
1500000US010890110233,Block Group 3; Census Tract 110.23; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110241,Block Group 1; Census Tract 110.24; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110242,Block Group 2; Census Tract 110.24; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110251,Block Group 1; Census Tract 110.25; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110252,Block Group 2; Census Tract 110.25; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110253,Block Group 3; Census Tract 110.25; Madison County; Alabama,32,39.2173431,32,37,0,13
1500000US010890110254,Block Group 4; Census Tract 110.25; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110261,Block Group 1; Census Tract 110.26; Madison County; Alabama,8,19.84943324,8,15,0,13
1500000US010890110262,Block Group 2; Census Tract 110.26; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110271,Block Group 1; Census Tract 110.27; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110272,Block Group 2; Census Tract 110.27; Madison County; Alabama,14,26.41968963,14,23,0,13
1500000US010890110281,Block Group 1; Census Tract 110.28; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110282,Block Group 2; Census Tract 110.28; Madison County; Alabama,23,39.2173431,0,13,23,37
1500000US010890110283,Block Group 3; Census Tract 110.28; Madison County; Alabama,68,104.8093507,68,104,0,13
1500000US010890111001,Block Group 1; Census Tract 111; Madison County; Alabama,6,15.8113883,0,13,6,9
1500000US010890111002,Block Group 2; Census Tract 111; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890112011,Block Group 1; Census Tract 112.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890112012,Block Group 2; Census Tract 112.01; Madison County; Alabama,32,40.16217126,32,38,0,13
1500000US010890112021,Block Group 1; Census Tract 112.02; Madison County; Alabama,91,131.6434579,0,13,91,131
1500000US010890112022,Block Group 2; Census Tract 112.02; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890112023,Block Group 3; Census Tract 112.02; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890112031,Block Group 1; Census Tract 112.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890112032,Block Group 2; Census Tract 112.03; Madison County; Alabama,123,120.4159458,71,90,52,80
1500000US010890112033,Block Group 3; Census Tract 112.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890113011,Block Group 1; Census Tract 113.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890113012,Block Group 2; Census Tract 113.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890113021,Block Group 1; Census Tract 113.02; Madison County; Alabama,43,55.54277631,0,13,43,54
1500000US010890113022,Block Group 2; Census Tract 113.02; Madison County; Alabama,18,28.17800561,0,13,18,25
1500000US010890113023,Block Group 3; Census Tract 113.02; Madison County; Alabama,12,23.02172887,12,19,0,13
1500000US010890114001,Block Group 1; Census Tract 114; Madison County; Alabama,10,19.84943324,0,13,10,15
1500000US010890114002,Block Group 2; Census Tract 114; Madison County; Alabama,12,25.55386468,12,22,0,13
1500000US010890114003,Block Group 3; Census Tract 114; Madison County; Alabama,35,39.45883931,31,39,4,6
1500000US010890114004,Block Group 4; Census Tract 114; Madison County; Alabama,19,30.87069808,0,13,19,28
